City_ID,City,Country,Lat,Long,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
332,Saint-Francois,FR,46.42,3.91,51.8,87,90,5.82,overcast clouds
333,Huayang,CN,34.42,109.99,41.43,100,100,2.3,overcast clouds
334,Chicama,PE,-7.84,-79.15,64.4,81,85,4.56,overcast clouds
335,Codogno,IT,45.16,9.7,46.99,83,36,3.47,scattered clouds
336,Morant Bay,JM,17.88,-76.41,82.4,74,20,4.7,few clouds
337,Flinders,AU,-34.58,150.86,69.01,63,40,8.05,scattered clouds
338,Mayumba,GA,-3.43,10.66,77.25,89,99,10.2,moderate rain
339,Karratha,AU,-20.74,116.85,83.23,50,5,12.71,clear sky
340,Greenfield,US,42.96,-88.01,32.0,74,1,6.93,clear sky
341,Battipaglia,IT,40.61,14.99,57.0,91,64,1.01,broken clouds
342,Male,MV,4.17,73.51,82.49,74,71,10.0,moderate rain
343,Cerro Punta,PA,8.85,-82.57,64.99,100,88,1.83,overcast clouds
344,Caconda,AO,-13.73,15.07,59.74,95,33,5.08,scattered clouds
345,Tuatapere,NZ,-46.13,167.68,54.0,79,100,11.99,overcast clouds
346,Leningradskiy,RU,69.38,178.42,18.18,90,0,15.99,clear sky
347,Oistins,BB,13.07,-59.53,80.6,83,40,17.22,shower rain
348,Gualaquiza,EC,-3.4,-78.55,65.05,88,100,1.39,light rain
349,Monroe,US,43.15,-77.68,43.0,93,90,4.7,overcast clouds
350,Jiuquan,CN,39.74,98.52,50.27,44,7,8.25,clear sky
351,Gat,IL,31.61,34.76,73.0,100,66,2.55,broken clouds
352,San Cristobal,VE,7.77,-72.22,66.34,92,56,2.13,light rain
353,Lhokseumawe,ID,5.18,97.15,85.98,66,71,2.62,broken clouds
354,Idrinskoye,RU,54.37,92.14,38.64,73,100,4.12,overcast clouds
355,Lardos,GR,36.09,28.02,66.2,88,20,2.24,few clouds
356,Elat,IL,29.56,34.95,75.2,38,0,6.93,clear sky
357,Penarroya-Pueblonuevo,ES,38.3,-5.27,48.0,100,0,1.12,clear sky
358,Mount Isa,AU,-20.73,139.5,87.8,8,0,16.11,clear sky
359,Jhol,PK,25.96,68.89,66.2,68,0,6.93,smoke
360,Fukue,JP,32.69,128.84,69.8,64,0,6.93,clear sky
